Country,Date,Open,High,Low,Close,Adj Close,Volume
USA,4/25/19,2928.98999,2933.100098,2912.840088,2926.169922,2926.169922,3425280000
USA,4/26/19,2925.810059,2939.879883,2917.560059,2939.879883,2939.879883,3248500000
USA,4/29/19,2940.580078,2949.52002,2939.350098,2943.030029,2943.030029,3118780000
USA,4/30/19,2937.139893,2948.219971,2924.110107,2945.830078,2945.830078,3919330000
USA,5/1/19,2952.330078,2954.129883,2923.360107,2923.72998,2923.72998,3645850000
USA,5/2/19,2922.159912,2931.679932,2900.5,2917.52002,2917.52002,3778890000
USA,5/3/19,2929.209961,2947.850098,2929.209961,2945.639893,2945.639893,3338120000
USA,5/6/19,2908.889893,2937.320068,2898.209961,2932.469971,2932.469971,3181520000
USA,5/7/19,2913.030029,2913.030029,2862.600098,2884.050049,2884.050049,3767100000
USA,5/8/19,2879.610107,2897.959961,2873.280029,2879.419922,2879.419922,3485790000
USA,5/9/19,2859.840088,2875.969971,2836.399902,2870.719971,2870.719971,3638820000
USA,5/10/19,2863.100098,2891.310059,2825.389893,2881.399902,2881.399902,3529600000
USA,5/13/19,2840.189941,2840.189941,2801.429932,2811.870117,2811.870117,3894030000
USA,5/14/19,2820.120117,2852.540039,2820.120117,2834.409912,2834.409912,3322720000
USA,5/15/19,2820.379883,2858.679932,2815.080078,2850.959961,2850.959961,3125950000
USA,5/16/19,2855.800049,2892.149902,2855.800049,2876.320068,2876.320068,3338060000
USA,5/17/19,2858.600098,2885.47998,2854.22998,2859.530029,2859.530029,3257950000
USA,5/20/19,2841.939941,2853.860107,2831.290039,2840.22998,2840.22998,3288870000
USA,5/21/19,2854.02002,2868.879883,2854.02002,2864.360107,2864.360107,3218700000
USA,5/22/19,2856.060059,2865.469971,2851.110107,2856.27002,2856.27002,3192510000
USA,5/23/19,2836.699951,2836.699951,2805.48999,2822.23999,2822.23999,3891980000
USA,5/24/19,2832.409912,2841.360107,2820.189941,2826.060059,2826.060059,2887390000
USA,5/28/19,2830.030029,2840.51001,2801.580078,2802.389893,2802.389893,4121410000
USA,5/29/19,2790.25,2792.030029,2766.060059,2783.02002,2783.02002,3700050000
USA,5/30/19,2786.939941,2799,2776.73999,2788.860107,2788.860107,3273790000
USA,5/31/19,2766.149902,2768.97998,2750.52002,2752.060059,2752.060059,3981020000
USA,6/3/19,2751.530029,2763.070068,2728.810059,2744.449951,2744.449951,3966700000
USA,6/4/19,2762.639893,2804.48999,2762.639893,2803.27002,2803.27002,3810430000
USA,6/5/19,2818.090088,2827.280029,2800.919922,2826.149902,2826.149902,3548830000
USA,6/6/19,2828.51001,2852.100098,2822.449951,2843.48999,2843.48999,3396410000
USA,6/7/19,2852.870117,2884.969971,2852.870117,2873.340088,2873.340088,3220250000
USA,6/10/19,2885.830078,2904.77002,2885.51001,2886.72998,2886.72998,3209210000
USA,6/11/19,2903.27002,2910.610107,2878.530029,2885.719971,2885.719971,3548420000
USA,6/12/19,2882.72998,2888.570068,2874.679932,2879.840088,2879.840088,3034130000
USA,6/13/19,2886.23999,2895.23999,2881.98999,2891.639893,2891.639893,3069810000
USA,6/14/19,2886.820068,2894.449951,2879.620117,2886.97998,2886.97998,2922330000
USA,6/17/19,2889.75,2897.27002,2887.300049,2889.669922,2889.669922,2810140000
USA,6/18/19,2906.709961,2930.790039,2905.439941,2917.75,2917.75,3437620000
USA,6/19/19,2920.550049,2931.73999,2911.429932,2926.459961,2926.459961,3287890000
USA,6/20/19,2949.600098,2958.060059,2931.5,2954.179932,2954.179932,3905940000
USA,6/21/19,2952.709961,2964.149902,2946.870117,2950.459961,2950.459961,5000120000
USA,6/24/19,2951.419922,2954.919922,2944.050049,2945.350098,2945.350098,3136250000
USA,6/25/19,2945.780029,2946.52002,2916.01001,2917.379883,2917.379883,3578050000
USA,6/26/19,2926.070068,2932.590088,2912.98999,2913.780029,2913.780029,3478130000
USA,6/27/19,2919.659912,2929.300049,2918.570068,2924.919922,2924.919922,3122920000
USA,6/28/19,2932.939941,2943.97998,2929.050049,2941.76001,2941.76001,5420700000
USA,7/1/19,2971.409912,2977.929932,2952.219971,2964.330078,2964.330078,3513270000
USA,7/2/19,2964.659912,2973.209961,2955.919922,2973.01001,2973.01001,3206840000
USA,7/3/19,2978.080078,2995.840088,2977.959961,2995.820068,2995.820068,1963720000
USA,7/5/19,2984.25,2994.030029,2967.969971,2990.409912,2990.409912,2434210000
USA,7/8/19,2979.77002,2980.76001,2970.090088,2975.949951,2975.949951,2904550000
USA,7/9/19,2965.52002,2981.899902,2963.439941,2979.629883,2979.629883,3028210000
USA,7/10/19,2989.300049,3002.97998,2984.620117,2993.070068,2993.070068,3154240000
USA,7/11/19,2999.620117,3002.330078,2988.800049,2999.909912,2999.909912,3154620000
USA,7/12/19,3003.360107,3013.919922,3001.870117,3013.77002,3013.77002,2974960000
USA,7/15/19,3017.800049,3017.800049,3008.77002,3014.300049,3014.300049,2874970000
USA,7/16/19,3012.129883,3015.02002,3001.149902,3004.040039,3004.040039,3290650000
USA,7/17/19,3005.100098,3005.26001,2984.25,2984.419922,2984.419922,3181600000
USA,7/18/19,2978.870117,2998.280029,2973.090088,2995.110107,2995.110107,3296580000
USA,7/19/19,3004.26001,3006.02002,2975.860107,2976.610107,2976.610107,3260360000
USA,7/22/19,2981.929932,2990.709961,2976.649902,2985.030029,2985.030029,3003720000
USA,7/23/19,2994.73999,3005.899902,2988.560059,3005.469971,3005.469971,3313660000
USA,7/24/19,2998.77002,3019.590088,2996.820068,3019.560059,3019.560059,3428980000
USA,7/25/19,3016.26001,3016.310059,2997.23999,3003.669922,3003.669922,3645270000
USA,7/26/19,3013.25,3027.97998,3012.590088,3025.860107,3025.860107,3257590000
USA,7/29/19,3024.469971,3025.610107,3014.300049,3020.969971,3020.969971,3203710000
USA,7/30/19,3007.659912,3017.189941,3000.939941,3013.179932,3013.179932,3634330000
USA,7/31/19,3016.219971,3017.399902,2958.080078,2980.379883,2980.379883,4623430000
USA,8/1/19,2980.320068,3013.590088,2945.22998,2953.560059,2953.560059,4762300000
USA,8/2/19,2943.899902,2945.5,2914.110107,2932.050049,2932.050049,3874660000
USA,8/5/19,2898.070068,2898.070068,2822.120117,2844.73999,2844.73999,4513730000
USA,8/6/19,2861.179932,2884.399902,2847.419922,2881.77002,2881.77002,4154240000
USA,8/7/19,2858.649902,2892.169922,2825.709961,2883.97998,2883.97998,4491750000
USA,8/8/19,2896.209961,2938.719971,2894.469971,2938.090088,2938.090088,4106370000
USA,8/9/19,2930.51001,2935.75,2900.149902,2918.649902,2918.649902,3350640000
USA,8/12/19,2907.070068,2907.580078,2873.139893,2882.699951,2882.699951,2851630000
USA,8/13/19,2880.719971,2943.310059,2877.050049,2926.320068,2926.320068,3853600000
USA,8/14/19,2894.149902,2894.149902,2839.639893,2840.600098,2840.600098,4312530000
USA,8/15/19,2846.199951,2856.669922,2825.51001,2847.600098,2847.600098,4038000000
USA,8/16/19,2864.73999,2893.629883,2864.73999,2888.679932,2888.679932,3498150000
USA,8/19/19,2913.47998,2931,2913.47998,2923.649902,2923.649902,3212880000
USA,8/20/19,2919.01001,2923.629883,2899.600098,2900.51001,2900.51001,3066300000
USA,8/21/19,2922.040039,2928.72998,2917.909912,2924.429932,2924.429932,3011190000
USA,8/22/19,2930.939941,2939.080078,2904.51001,2922.949951,2922.949951,2890880000
USA,8/23/19,2911.070068,2927.01001,2834.969971,2847.110107,2847.110107,3937300000
USA,8/26/19,2866.699951,2879.27002,2856,2878.379883,2878.379883,2857600000
USA,8/27/19,2893.139893,2898.790039,2860.590088,2869.159912,2869.159912,3533630000
USA,8/28/19,2861.280029,2890.030029,2853.050049,2887.939941,2887.939941,3097420000
USA,8/29/19,2910.370117,2930.5,2905.669922,2924.580078,2924.580078,3176190000
USA,8/30/19,2937.090088,2940.429932,2913.320068,2926.459961,2926.459961,3008450000
USA,9/3/19,2909.01001,2914.389893,2891.850098,2906.27002,2906.27002,3426790000
USA,9/4/19,2924.669922,2938.840088,2921.860107,2937.780029,2937.780029,3163260000
USA,9/5/19,2960.600098,2985.860107,2960.600098,2976,2976,3890700000
USA,9/6/19,2980.330078,2985.030029,2972.51001,2978.709961,2978.709961,3208280000
USA,9/9/19,2988.429932,2989.429932,2969.389893,2978.429932,2978.429932,4002890000
USA,9/10/19,2971.01001,2979.389893,2957.01001,2979.389893,2979.389893,4390770000
USA,9/11/19,2981.409912,3000.929932,2975.310059,3000.929932,3000.929932,3927550000
USA,9/12/19,3009.080078,3020.73999,3000.919922,3009.570068,3009.570068,3791860000
USA,9/13/19,3012.209961,3017.330078,3002.899902,3007.389893,3007.389893,3520060000
USA,9/16/19,2996.409912,3002.189941,2990.669922,2997.959961,2997.959961,4274640000
USA,9/17/19,2995.669922,3006.209961,2993.72998,3005.699951,3005.699951,3671840000
USA,9/18/19,3001.5,3007.830078,2978.570068,3006.72998,3006.72998,3435540000
USA,9/19/19,3010.360107,3021.98999,3003.159912,3006.790039,3006.790039,3251290000
USA,9/20/19,3008.419922,3016.370117,2984.679932,2992.070068,2992.070068,6094740000
USA,9/23/19,2983.5,2999.149902,2982.22998,2991.780029,2991.780029,3186590000
USA,9/24/19,3002.429932,3007.97998,2957.72998,2966.600098,2966.600098,3868160000
USA,9/25/19,2968.350098,2989.820068,2952.860107,2984.870117,2984.870117,3318870000
USA,9/26/19,2985.72998,2987.280029,2963.709961,2977.620117,2977.620117,3077240000
USA,9/27/19,2985.469971,2987.310059,2945.530029,2961.790039,2961.790039,3243650000
USA,9/30/19,2967.070068,2983.850098,2967.070068,2976.73999,2976.73999,3247610000
USA,10/1/19,2983.689941,2992.530029,2938.699951,2940.25,2940.25,3558040000
USA,10/2/19,2924.780029,2924.780029,2874.929932,2887.610107,2887.610107,3912520000
USA,10/3/19,2885.379883,2911.129883,2855.939941,2910.629883,2910.629883,3503640000
USA,10/4/19,2918.560059,2953.73999,2918.560059,2952.01001,2952.01001,2990830000
USA,10/7/19,2944.22998,2959.75,2935.679932,2938.790039,2938.790039,2940140000
USA,10/8/19,2920.399902,2925.469971,2892.659912,2893.060059,2893.060059,3356450000
USA,10/9/19,2911.100098,2929.320068,2907.409912,2919.399902,2919.399902,2726820000
USA,10/10/19,2918.550049,2948.459961,2917.120117,2938.129883,2938.129883,3217250000
USA,10/11/19,2963.070068,2993.280029,2963.070068,2970.27002,2970.27002,3580460000
USA,10/14/19,2965.810059,2972.840088,2962.939941,2966.149902,2966.149902,2557020000
USA,10/15/19,2973.610107,3003.280029,2973.610107,2995.679932,2995.679932,3340740000
USA,10/16/19,2989.679932,2997.540039,2985.199951,2989.689941,2989.689941,3222570000
USA,10/17/19,3000.77002,3008.290039,2991.790039,2997.949951,2997.949951,3115960000
USA,10/18/19,2996.840088,3000,2976.310059,2986.199951,2986.199951,3264290000
USA,10/21/19,2996.47998,3007.330078,2995.350098,3006.719971,3006.719971,3271620000
USA,10/22/19,3010.72998,3014.570068,2995.040039,2995.98999,2995.98999,3523890000
USA,10/23/19,2994.01001,3004.780029,2991.209961,3004.52002,3004.52002,3392870000
USA,10/24/19,3014.780029,3016.070068,3000.419922,3010.290039,3010.290039,3692600000
USA,10/25/19,3003.320068,3027.389893,3001.939941,3022.550049,3022.550049,3370370000
USA,10/28/19,3032.120117,3044.080078,3032.120117,3039.419922,3039.419922,3521230000
USA,10/29/19,3035.389893,3047.870117,3034.810059,3036.889893,3036.889893,3589930000
USA,10/30/19,3039.73999,3050.100098,3025.959961,3046.77002,3046.77002,3776030000
USA,10/31/19,3046.899902,3046.899902,3023.189941,3037.560059,3037.560059,4139280000
USA,11/1/19,3050.719971,3066.949951,3050.719971,3066.909912,3066.909912,3930200000
USA,11/4/19,3078.959961,3085.199951,3074.870117,3078.27002,3078.27002,4146850000
USA,11/5/19,3080.800049,3083.949951,3072.149902,3074.620117,3074.620117,4486130000
USA,11/6/19,3075.100098,3078.340088,3065.889893,3076.780029,3076.780029,4458190000
USA,11/7/19,3087.02002,3097.77002,3080.22998,3085.179932,3085.179932,4144640000
USA,11/8/19,3081.25,3093.090088,3073.580078,3093.080078,3093.080078,3499150000
USA,11/11/19,3080.330078,3088.330078,3075.820068,3087.01001,3087.01001,3035530000
USA,11/12/19,3089.280029,3102.610107,3084.72998,3091.840088,3091.840088,3466010000
USA,11/13/19,3084.179932,3098.060059,3078.800049,3094.040039,3094.040039,3509280000
USA,11/14/19,3090.75,3098.199951,3083.26001,3096.629883,3096.629883,3276070000
USA,11/15/19,3107.919922,3120.459961,3104.600098,3120.459961,3120.459961,3335650000
USA,11/18/19,3117.909912,3124.169922,3112.060059,3122.030029,3122.030029,3436690000
USA,11/19/19,3127.449951,3127.639893,3113.469971,3120.179932,3120.179932,3590070000
USA,11/20/19,3114.659912,3118.969971,3091.409912,3108.459961,3108.459961,4034890000
USA,11/21/19,3108.48999,3110.110107,3094.550049,3103.540039,3103.540039,3720560000
USA,11/22/19,3111.409912,3112.870117,3099.26001,3110.290039,3110.290039,3226780000
USA,11/25/19,3117.439941,3133.830078,3117.439941,3133.639893,3133.639893,3511530000
USA,11/26/19,3134.850098,3142.689941,3131,3140.52002,3140.52002,4595590000
USA,11/27/19,3145.48999,3154.26001,3143.409912,3153.629883,3153.629883,3033090000
USA,11/29/19,3147.179932,3150.300049,3139.340088,3140.97998,3140.97998,1743020000
USA,12/2/19,3143.850098,3144.310059,3110.780029,3113.870117,3113.870117,3268740000
USA,12/3/19,3087.409912,3094.969971,3070.330078,3093.199951,3093.199951,3653390000
USA,12/4/19,3103.5,3119.379883,3102.530029,3112.76001,3112.76001,3695030000
USA,12/5/19,3119.209961,3119.449951,3103.76001,3117.429932,3117.429932,3355750000
USA,12/6/19,3134.620117,3150.600098,3134.620117,3145.909912,3145.909912,3479480000
USA,12/9/19,3141.860107,3148.870117,3135.459961,3135.959961,3135.959961,3345990000
USA,12/10/19,3135.360107,3142.120117,3126.090088,3132.52002,3132.52002,3343790000
USA,12/11/19,3135.75,3143.97998,3133.209961,3141.629883,3141.629883,3252540000
USA,12/12/19,3141.22998,3176.280029,3138.469971,3168.570068,3168.570068,3990690000
USA,12/13/19,3166.649902,3182.679932,3156.51001,3168.800049,3168.800049,3736870000
USA,12/16/19,3183.629883,3197.709961,3183.629883,3191.449951,3191.449951,4051790000
USA,12/17/19,3195.399902,3198.219971,3191.030029,3192.52002,3192.52002,3837540000
USA,12/18/19,3195.209961,3198.47998,3191.139893,3191.139893,3191.139893,4014080000
USA,12/19/19,3192.320068,3205.47998,3192.320068,3205.370117,3205.370117,3720450000
USA,12/20/19,3223.330078,3225.649902,3216.030029,3221.219971,3221.219971,6454270000
USA,12/23/19,3226.050049,3227.780029,3222.300049,3224.01001,3224.01001,3060610000
USA,12/24/19,3225.449951,3226.429932,3220.51001,3223.379883,3223.379883,1296540000
USA,12/26/19,3227.199951,3240.080078,3227.199951,3239.909912,3239.909912,2160680000
USA,12/27/19,3247.22998,3247.929932,3234.370117,3240.02002,3240.02002,2428670000
USA,12/30/19,3240.090088,3240.919922,3216.570068,3221.290039,3221.290039,3013290000
USA,12/31/19,3215.179932,3231.719971,3212.030029,3230.780029,3230.780029,2893810000
USA,1/2/20,3244.669922,3258.139893,3235.530029,3257.850098,3257.850098,3458250000
USA,1/3/20,3226.360107,3246.149902,3222.340088,3234.850098,3234.850098,3461290000
USA,1/6/20,3217.550049,3246.840088,3214.639893,3246.280029,3246.280029,3674070000
USA,1/7/20,3241.860107,3244.909912,3232.429932,3237.179932,3237.179932,3420380000
USA,1/8/20,3238.590088,3267.070068,3236.669922,3253.050049,3253.050049,3720890000
USA,1/9/20,3266.030029,3275.580078,3263.669922,3274.699951,3274.699951,3638390000
USA,1/10/20,3281.810059,3282.98999,3260.860107,3265.350098,3265.350098,3212970000
USA,1/13/20,3271.129883,3288.129883,3268.429932,3288.129883,3288.129883,3456380000
USA,1/14/20,3285.350098,3294.25,3277.189941,3283.149902,3283.149902,3665130000
USA,1/15/20,3282.27002,3298.659912,3280.689941,3289.290039,3289.290039,3716840000
USA,1/16/20,3302.969971,3317.110107,3302.820068,3316.810059,3316.810059,3535080000
USA,1/17/20,3323.659912,3329.879883,3318.860107,3329.620117,3329.620117,3698170000
USA,1/21/20,3321.030029,3329.790039,3316.610107,3320.790039,3320.790039,4105340000
USA,1/22/20,3330.02002,3337.77002,3320.040039,3321.75,3321.75,3619850000
USA,1/23/20,3315.77002,3326.879883,3301.870117,3325.540039,3325.540039,3764860000
USA,1/24/20,3333.100098,3333.179932,3281.530029,3295.469971,3295.469971,3707130000
USA,1/27/20,3247.159912,3258.850098,3234.5,3243.629883,3243.629883,3823100000
USA,1/28/20,3255.350098,3285.780029,3253.219971,3276.23999,3276.23999,3526720000
USA,1/29/20,3289.459961,3293.469971,3271.889893,3273.399902,3273.399902,3584500000
USA,1/30/20,3256.449951,3285.909912,3242.800049,3283.659912,3283.659912,3787250000
USA,1/31/20,3282.330078,3282.330078,3214.679932,3225.52002,3225.52002,4527830000
USA,2/3/20,3235.659912,3268.439941,3235.659912,3248.919922,3248.919922,3757910000
USA,2/4/20,3280.610107,3306.919922,3280.610107,3297.590088,3297.590088,3995320000
USA,2/5/20,3324.909912,3337.580078,3313.75,3334.689941,3334.689941,4117730000
USA,2/6/20,3344.919922,3347.959961,3334.389893,3345.780029,3345.780029,3868370000
USA,2/7/20,3335.540039,3341.419922,3322.120117,3327.709961,3327.709961,3730650000
USA,2/10/20,3318.280029,3352.26001,3317.77002,3352.090088,3352.090088,3450350000
USA,2/11/20,3365.870117,3375.629883,3352.719971,3357.75,3357.75,3760550000
USA,2/12/20,3370.5,3381.469971,3369.719971,3379.449951,3379.449951,3926380000
USA,2/13/20,3365.899902,3385.090088,3360.52002,3373.939941,3373.939941,3498240000
USA,2/14/20,3378.080078,3380.689941,3366.149902,3380.159912,3380.159912,3398040000
USA,2/18/20,3369.040039,3375.01001,3355.610107,3370.290039,3370.290039,3746720000
USA,2/19/20,3380.389893,3393.52002,3378.830078,3386.149902,3386.149902,3600150000
USA,2/20/20,3380.449951,3389.149902,3341.02002,3373.22998,3373.22998,4007320000
USA,2/21/20,3360.5,3360.76001,3328.449951,3337.75,3337.75,3899270000
USA,2/24/20,3257.610107,3259.810059,3214.649902,3225.889893,3225.889893,4842960000
USA,2/25/20,3238.939941,3246.98999,3118.77002,3128.209961,3128.209961,5591510000
USA,2/26/20,3139.899902,3182.51001,3108.98999,3116.389893,3116.389893,5478110000
USA,2/27/20,3062.540039,3097.070068,2977.389893,2978.76001,2978.76001,7058840000
USA,2/28/20,2916.899902,2959.719971,2855.840088,2954.219971,2954.219971,8563850000
USA,3/2/20,2974.280029,3090.959961,2945.189941,3090.22998,3090.22998,6376400000
USA,3/3/20,3096.459961,3136.719971,2976.629883,3003.370117,3003.370117,6355940000
USA,3/4/20,3045.75,3130.969971,3034.379883,3130.120117,3130.120117,5035480000
USA,3/5/20,3075.699951,3083.040039,2999.830078,3023.939941,3023.939941,5575550000
USA,3/6/20,2954.199951,2985.929932,2901.540039,2972.370117,2972.370117,6552140000
USA,3/9/20,2863.889893,2863.889893,2734.429932,2746.560059,2746.560059,8423050000
USA,3/10/20,2813.47998,2882.590088,2734,2882.22998,2882.22998,7635960000
USA,3/11/20,2825.600098,2825.600098,2707.219971,2741.379883,2741.379883,7374110000
USA,3/12/20,2630.860107,2660.949951,2478.860107,2480.639893,2480.639893,8829380000
USA,3/13/20,2569.98999,2711.330078,2492.370117,2711.02002,2711.02002,8258670000
USA,3/16/20,2508.590088,2562.97998,2380.939941,2386.129883,2386.129883,7781540000
USA,3/17/20,2425.659912,2553.929932,2367.040039,2529.189941,2529.189941,8358500000
USA,3/18/20,2436.5,2453.570068,2280.52002,2398.100098,2398.100098,8755780000
USA,3/19/20,2393.47998,2466.969971,2319.780029,2409.389893,2409.389893,7946710000
USA,3/20/20,2431.939941,2453.01001,2295.560059,2304.919922,2304.919922,9044690000
USA,3/23/20,2290.709961,2300.72998,2191.860107,2237.399902,2237.399902,7402180000
USA,3/24/20,2344.439941,2449.709961,2344.439941,2447.330078,2447.330078,7547350000
USA,3/25/20,2457.77002,2571.419922,2407.530029,2475.560059,2475.560059,8285670000
USA,3/26/20,2501.290039,2637.01001,2500.719971,2630.070068,2630.070068,7753160000
USA,3/27/20,2555.870117,2615.909912,2520.02002,2541.469971,2541.469971,6194330000
USA,3/30/20,2558.97998,2631.800049,2545.280029,2626.649902,2626.649902,5746220000
USA,3/31/20,2614.689941,2641.389893,2571.149902,2584.590088,2584.590088,6568290000
USA,4/1/20,2498.080078,2522.75,2447.48999,2470.5,2470.5,5947900000
USA,4/2/20,2458.540039,2533.219971,2455.790039,2526.899902,2526.899902,6454990000
USA,4/3/20,2514.919922,2538.179932,2459.959961,2488.649902,2488.649902,6087190000
USA,4/6/20,2578.280029,2676.850098,2574.570068,2663.679932,2663.679932,6391860000
USA,4/7/20,2738.649902,2756.889893,2657.669922,2659.409912,2659.409912,7040720000
